Record_ID,Meal_ID,Cuisine,Variation_Type,Meal_Type,Meal_Description
1,1,Kurdish,Healthy and Balanced,Breakfast,"3 boiled eggs, whole wheat naan (50g), low-fat yogurt (100g), fresh medium tomato and cucumber salad, 1 mug black tea"
2,1,Kurdish,Unhealthy / Big Portion,Breakfast,"4 fried eggs, 2 white naan (100g), full-fat yogurt (200g), cheese 30g, 10 olives, 2 big tomatoes and cucumber, sugary black tea 300 ml"
3,1,Kurdish,Unhealthy / Small Portion,Breakfast,"1 fried egg, small naan (30g), little yogurt (50g), white cheese 10g, 2 olives, 2 cherry tomatoes and 1 small cucumber black tea 100 ml"
4,1,Kurdish,Unhealthy / Not Balanced 1,Breakfast,"3 fried eggs with naan 100g, yogurt 100g black tea 100 ml"
5,1,Kurdish,Unhealthy / Not Balanced 2,Breakfast,3 Fried eggs with 1 medium tomato and 2 medium cucumber black tea 100 ml
6,1,Kurdish,Unhealthy / Not Balanced 3,Breakfast,"Naan with 2 tomatoes and 2 cucumber, black tea 100 ml"
7,2,Kurdish,Healthy and Balanced,Lunch,Falafel (150g) with whole wheat naan (50g) and mixed green salad 80g yogurt drink 250ml
8,2,Kurdish,Unhealthy / Big Portion,Lunch,"Large falafel portion (300g), 2 white naan (100g), and salad 200g and mayo 15g yogurt drink 250ml"
9,2,Kurdish,Unhealthy / Small Portion,Lunch,"Small falafel portion (80g), small naan (30g), salad 20g yogurt drink 250ml"
10,2,Kurdish,Unhealthy / Not Balanced 1,Lunch,4 Falafel with 1 naan 50g yogurt drink 250ml
11,2,Kurdish,Unhealthy / Not Balanced 2,Lunch,"4 Falafel with green leaf salad 100g, yogurt drink 250ml"
12,2,Kurdish,Unhealthy / Not Balanced 3,Lunch,"1 Naan with 80g leaf salad, still water (250ml)"
13,3,Kurdish,Healthy and Balanced,Dinner,"Slow cooked lamb (150g), white steamed rice (150g), beans in tomato sauce (100g), salad and green leaves 100g, still water (250ml)"
